encodeur,condition,variante,vrai,predit,n
FOETAL ep50,image,equilibree,cardiaque,cardiaque,538
FOETAL ep50,image,equilibree,cardiaque,thyroide,0
FOETAL ep50,image,equilibree,cardiaque,sein,1
FOETAL ep50,image,equilibree,thyroide,foetal,1
FOETAL ep50,image,equilibree,thyroide,cardiaque,1
FOETAL ep50,image,equilibree,thyroide,thyroide,356
FOETAL ep50,image,equilibree,thyroide,sein,2
FOETAL ep50,image,equilibree,sein,foetal,0
FOETAL ep50,image,equilibree,sein,cardiaque,0
FOETAL ep50,image,equilibree,sein,thyroide,6
FOETAL ep50,image,equilibree,sein,sein,341
FOETAL ep50,image,brute,foetal,foetal,626
FOETAL ep50,image,brute,foetal,cardiaque,1
FOETAL ep50,image,brute,foetal,thyroide,1
FOETAL ep50,image,brute,foetal,sein,2
FOETAL ep50,image,brute,cardiaque,foetal,1
FOETAL ep50,image,brute,cardiaque,cardiaque,538
FOETAL ep50,image,brute,cardiaque,thyroide,0
FOETAL ep50,image,brute,cardiaque,sein,1
FOETAL ep50,image,brute,thyroide,foetal,1
FOETAL ep50,image,brute,thyroide,cardiaque,1
FOETAL ep50,image,brute,thyroide,thyroide,356
FOETAL ep50,image,brute,thyroide,sein,2
FOETAL ep50,image,brute,sein,foetal,0
FOETAL ep50,image,brute,sein,cardiaque,0
FOETAL ep50,image,brute,sein,thyroide,7
FOETAL ep50,image,brute,sein,sein,340
FOETAL ep50,source,equilibree,foetal,foetal,1425
FOETAL ep50,source,equilibree,foetal,cardiaque,435
FOETAL ep50,source,equilibree,foetal,thyroide,74
FOETAL ep50,source,equilibree,foetal,sein,166
FOETAL ep50,source,equilibree,cardiaque,foetal,574
FOETAL ep50,source,equilibree,cardiaque,cardiaque,1030
FOETAL ep50,source,equilibree,cardiaque,thyroide,107
FOETAL ep50,source,equilibree,cardiaque,sein,89
FOETAL ep50,source,equilibree,thyroide,foetal,63
FOETAL ep50,source,equilibree,thyroide,cardiaque,15
FOETAL ep50,source,equilibree,thyroide,thyroide,822
FOETAL ep50,source,equilibree,thyroide,sein,300
FOETAL ep50,source,equilibree,sein,foetal,28
FOETAL ep50,source,equilibree,sein,cardiaque,1
FOETAL ep50,source,equilibree,sein,thyroide,207
FOETAL ep50,source,equilibree,sein,sein,920
FOETAL ep50,source,brute,foetal,foetal,1444
FOETAL ep50,source,brute,foetal,cardiaque,417
FOETAL ep50,source,brute,foetal,thyroide,74
FOETAL ep50,source,brute,foetal,sein,165
FOETAL ep50,source,brute,cardiaque,foetal,607
FOETAL ep50,source,brute,cardiaque,cardiaque,1009
FOETAL ep50,source,brute,cardiaque,thyroide,101
FOETAL ep50,source,brute,cardiaque,sein,83
FOETAL ep50,source,brute,thyroide,foetal,63
