encodeur,condition,variante,vrai,predit,n
FOETAL ep50,image,brute,cardiaque,cardiaque,539
FOETAL ep50,image,brute,cardiaque,thyroide,0
FOETAL ep50,image,brute,cardiaque,sein,1
FOETAL ep50,image,brute,thyroide,foetal,1
FOETAL ep50,image,brute,thyroide,cardiaque,0
FOETAL ep50,image,brute,thyroide,thyroide,263
FOETAL ep50,image,brute,thyroide,sein,6
FOETAL ep50,image,brute,sein,foetal,1
FOETAL ep50,image,brute,sein,cardiaque,0
FOETAL ep50,image,brute,sein,thyroide,7
FOETAL ep50,image,brute,sein,sein,339
FOETAL ep50,source,equilibree,foetal,foetal,1358
FOETAL ep50,source,equilibree,foetal,cardiaque,252
FOETAL ep50,source,equilibree,foetal,thyroide,86
FOETAL ep50,source,equilibree,foetal,sein,104
FOETAL ep50,source,equilibree,cardiaque,foetal,1023
FOETAL ep50,source,equilibree,cardiaque,cardiaque,741
FOETAL ep50,source,equilibree,cardiaque,thyroide,12
FOETAL ep50,source,equilibree,cardiaque,sein,24
FOETAL ep50,source,equilibree,thyroide,foetal,94
FOETAL ep50,source,equilibree,thyroide,cardiaque,5
FOETAL ep50,source,equilibree,thyroide,thyroide,651
FOETAL ep50,source,equilibree,thyroide,sein,150
FOETAL ep50,source,equilibree,sein,foetal,44
FOETAL ep50,source,equilibree,sein,cardiaque,2
FOETAL ep50,source,equilibree,sein,thyroide,199
FOETAL ep50,source,equilibree,sein,sein,911
FOETAL ep50,source,brute,foetal,foetal,1359
FOETAL ep50,source,brute,foetal,cardiaque,265
FOETAL ep50,source,brute,foetal,thyroide,74
FOETAL ep50,source,brute,foetal,sein,102
FOETAL ep50,source,brute,cardiaque,foetal,1072
FOETAL ep50,source,brute,cardiaque,cardiaque,700
FOETAL ep50,source,brute,cardiaque,thyroide,9
FOETAL ep50,source,brute,cardiaque,sein,19
FOETAL ep50,source,brute,thyroide,foetal,98
FOETAL ep50,source,brute,thyroide,cardiaque,5
FOETAL ep50,source,brute,thyroide,thyroide,648
FOETAL ep50,source,brute,thyroide,sein,149
FOETAL ep50,source,brute,sein,foetal,47
FOETAL ep50,source,brute,sein,cardiaque,2
FOETAL ep50,source,brute,sein,thyroide,199
FOETAL ep50,source,brute,sein,sein,908
FOETAL ep100,image,equilibree,foetal,foetal,536
FOETAL ep100,image,equilibree,foetal,cardiaque,1
FOETAL ep100,image,equilibree,foetal,thyroide,1
FOETAL ep100,image,equilibree,foetal,sein,2
FOETAL ep100,image,equilibree,cardiaque,foetal,1
FOETAL ep100,image,equilibree,cardiaque,cardiaque,539
FOETAL ep100,image,equilibree,cardiaque,thyroide,0
FOETAL ep100,image,equilibree,cardiaque,sein,0
FOETAL ep100,image,equilibree,thyroide,foetal,1
FOETAL ep100,image,equilibree,thyroide,cardiaque,0
FOETAL ep100,image,equilibree,thyroide,thyroide,262
FOETAL ep100,image,equilibree,thyroide,sein,7
FOETAL ep100,image,equilibree,sein,foetal,0
FOETAL ep100,image,equilibree,sein,cardiaque,0
FOETAL ep100,image,equilibree,sein,thyroide,5
FOETAL ep100,image,equilibree,sein,sein,342
FOETAL ep100,image,brute,foetal,foetal,536
FOETAL ep100,image,brute,foetal,cardiaque,1
FOETAL ep100,image,brute,foetal,thyroide,1
FOETAL ep100,image,brute,foetal,sein,2
FOETAL ep100,image,brute,cardiaque,foetal,1
